Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Timor-Leste,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,55.142,48.893,53.334,57.281,51.143,53.734,46.545,44.741,2017
Togo,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,21.642,24.668,25.59,26.517,26.275,26.853,27.232,27.732,2018
Tonga,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,40.02,43.101,46.883,47.905,46.257,42.955,40.376,37.289,2017
Trinidad and Tobago,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,33.142,31.274,34.064,34.077,33.382,33.117,32.895,32.656,2018
Tunisia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,30.421,30.686,32.521,31.762,30.815,30.387,29.788,29.594,2016
Turkey,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,33.617,34.611,34.812,35.171,35.612,35.638,35.675,35.662,2018
Turkmenistan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,17.768,13.736,13.239,12.943,12.892,13,13.013,13.076,2017
Tuvalu,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,127.885,111.037,140.261,116.469,109.632,101.781,96.969,96.694,2018
Uganda,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,18.911,20.119,23.704,25.799,22.888,22.051,21.572,22.616,2018
Ukraine,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,41.482,41.741,41.324,39.966,39.579,39.226,38.943,38.651,2018
United Arab Emirates,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,30.572,30.084,31.012,31.212,30.494,29.538,28.808,28.168,2017
United Kingdom,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,38.407,38.273,38.362,38.48,38.348,38.193,38.174,38.172,2018
United States,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,35.248,35.14,36.192,36.406,36.507,36.734,36.745,36.767,2018
Uruguay,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.398,33.208,33.552,33.312,33.38,33.461,33.453,33.44,2018
Uzbekistan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,22.932,25.65,24.772,25.04,25.356,25.646,25.832,26.051,2018
Vanuatu,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,35.72,30.708,35.906,31.901,32.336,32.189,32.103,31.923,2017
Venezuela,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,36.569,34.723,n/a,n/a,n/a,n/a,n/a,n/a,2017
Vietnam,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,29.224,28.841,27.767,27.56,27.121,26.863,26.746,26.551,2017
Yemen,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,9.136,12.142,15.398,15.339,15.673,15.433,14.807,16.62,2017
Zambia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,25.188,27.378,24.167,24.801,23.252,22.92,22.588,22.37,2017
Zimbabwe,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,22.484,17.518,17.505,18.075,19.891,20.902,20.78,20.851,2017
,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, October 2019",,,,,,,,,,,,,
